deviceId,TimeStamp,AcceleratorPositionD,AcceleratorPositionE,BarometricPressure,Battery,CommandedEGR,ControlModuleVoltage,CoolantTemperature,DistanceSinceDTCClear,DistanceWithMIL,DTC,EngineLoad,EngineSpeed,FuelRailPressureDirect,IntakeTemp,MAF,MAP,PidsA,PidsB,PidsC,Speed,Status.DTCCount,Status.MIL,VehicleIdentification.VIN
RQHVTJF00006025,2020-09-01T14:20:44.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",25,772,29800,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:47.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",24,768,29200,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:50.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",24,760,28800,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:53.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",24,757,29200,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:56.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",24,760,28800,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:20:59.000Z,14,7,90,13.73099995,1,14,84,0,0,"\\""""",23,763,29600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:02.000Z,14,7,90,13.73099995,1,14,83,0,0,"\\""""",24,769,27400,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:05.000Z,14,7,90,13.73099995,19,14,83,0,0,"\\""""",21,903,32000,45,7,90,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:08.000Z,14,7,90,13.73099995,43,14,83,0,0,"\\""""",21,920,34600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
RQHVTJF00006025,2020-09-01T14:21:11.000Z,14,7,90,13.73099995,19,13,83,0,0,"\\""""",5,760,30600,45,6,89,2554003473,2685411329,3233808384,0,1,FALSE,0
